,name,duration,parsed,error,text
0,Dark Ritual,156.686653132,True,,add {b}{b}{b}.
1,Soul Burn,21.815213997,False,"No terminal matches '/' in the current parser context, at line 1 col 21

spend only black and/or red mana on x.
                    ^
Expected one of: 
	* DASH
	* WORD
","spend only black and/or red mana on x.
~ deals x damage to any target. you gain life equal to the damage dealt, but not more than the amount of {b} spent on x, the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness."
2,Lim-Dûl's High Guard,216.43455894600004,True,,"first strike
{1}{b}: regenerate ~."
3,Dark Banishing,223.19200486900002,True,,destroy target nonblack creature. it can not be regenerated.
4,Foul Familiar,388.89412947000005,True,,"~ can not block.
{b}, pay 1 life: return ~ to its owner's hand."
5,Abyssal Specter,408.063642152,True,,"flying
whenever ~ deals damage to a player, that player discards a card."
6,Balduvian Horde,324.02720032599996,True,,"when ~ enters, sacrifice it unless you discard a card at random."
7,Contagion,523.290808022,False,"No terminal matches '.' in the current parser context, at line 1 col 96

d rather than pay this spell's mana cost.
                                        ^
Expected one of: 
	* DASH
	* WORD
","you may pay 1 life and exile a black card from your hand rather than pay this spell's mana cost.
distribute two -2/-1 counters among one or two target creatures."
8,Phantasmal Fiend,526.070915497,True,,"{b}: ~ gets +1/-1 until end of turn.
{1}{u}: switch ~'s power and toughness until end of turn."
9,Necropotence,557.417103843,False,"No terminal matches 't' in the current parser context, at line 3 col 23

pay 1 life: exile the top card of your library face down. put 
                      ^
Expected one of: 
	* IN
	* SUBTYPEPLANESWALKER
	* TAPPEDSTATUSMODIFIER
	* ORDINAL
	* EACH
	* DEAL
	* WITHOUT
	* ANY
	* REMOVE
	* AMASS
	* EQUAL
	* FATESEAL
	* SHUFFLE
	* LESS
	* PLAYED
	* EXILE
	* X
	* SUPPORT
	* DISCOVER
	* MONSTROSITY
	* LOSE
	* __ANON_21
	* DISCARD
	* PROLIFERATE
	* DIE
	* WHO
	* HIMSELF
	* LOOK
	* ATTACK
	* CHOSE
	* SEARCHED
	* ITSELF
	* THIS
	* REVEAL
	* NO
	* UNATTACHED
	* MANIFEST
	* SUBTYPEENCHANTMENT
	* PUT
	* WIN
	* REVEALED
	* CYCLE
	* FLIP
	* ADAPT
	* __ANON_18
	* SAME
	* DISCARDED
	* PAY
	* FROM
	* TRANSFORM
	* TURN
	* IT
	* SUSPECT
	* EXPLORES
	* COLORTERM
	* MELD
	* COUNTER
	* FORAGE
	* RETURN
	* EFFECTSTATUSMODIFIER
	* SPEND
	* DREW
	* GOAD
	* REGENERATE
	* CONTROL
	* TIMES
	* QUALIFIER
	* CHOOSE
	* SCRY
	* ON
	* AN
	* LEVEL
	* EXCHANGE
	* GREATER
	* CLOAK
	* MORE
	* SUBTYPESPELL
	* GET
	* REMAIN
	* ZONE
	* EXERT
	* CARDINAL
	* DRAW
	* GAINED
	* NON
	* SHUFFLED
	* THEM
	* ITS
	* NUMBER
	* SACRIFICE
	* SEARCH
	* OBJECTCHARACTERISTIC
	* DOUBLE
	* THE
	* ONTO
	* DESTROY
	* ADDITIONAL
	* BOLSTER
	* INVESTIGATE
	* PLAYERCHARACTERISTIC
	* HERSELF
	* TAKE
	* TARGET
	* THESE
	* SACRIFICED
	* SKIP
	* ATTACHED
	* CONVERT
	* A
	* LBRACE
	* PLAY
	* SUBTYPEARTIFACT
	* THEIR
	* ATTACH
	* WITH
	* ONLY
	* ASSIGN
	* MILL
	* ACTIVATE
	* GAIN
	* CONTROLLED
	* FIGHT
	* DETAIN
	* LEARN
	* PREVENT
	* CREATE
	* COMBATSTATUSMODIFIER
	* UP
	* SUBTYPECREATUREA
	* SUPERTYPE
	* CAST
	* CLASH
	* ABLE
	* UNTAP
	* ABILITYMODIFIER
	* UNDER
	* ADD
	* SUBTYPELAND
	* SUBTYPEPLANAR
	* SURVEIL
	* ALL
	* __ANON_9
	* OTHER
	* PLAYERTERM
	* CONNIVE
	* __ANON_20
	* KEYWORDSTATUSMODIFIER
	* ABANDON
	* DAMAGETYPE
	* LOOKED
	* TYPE
	* SWITCH
	* __ANON_17
	* __ANON_19
	* ATTACKED
	* BLOCKED
	* BLOCK
	* UNATTACH
	* __ANON_14
	* YOUR
	* THOSE
	* INCUBATE
	* __ANON_15
	* STAR
	* SUBTYPECREATUREB
	* CYCLED
	* THAT
	* FREQUENCY
	* NAMEREFSYMBOL
	* TURNED
	* POPULATE
	* TAP
	* INTO
","skip your draw step.
whenever you discard a card, exile that card from your graveyard.
pay 1 life: exile the top card of your library face down. put that card into your hand at the beginning of your next end step."
