,name,duration,parsed,error,text
0,Apothecary Geist,27.959928579000916,False,"No terminal matches '~' in the current parser context, at line 2 col 6

When ~ enters, if you control another Spirit,
     ^
Expected one of: 
	* WORD
	* DASH
","Flying
When ~ enters, if you control another Spirit, you gain 3 life."
1,"Avacyn, the Purifier",27.805278945999817,False,"No terminal matches '~' in the current parser context, at line 2 col 36

When this creature transforms into ~f, it deals 3 damage to each other crea
                                   ^
Expected one of: 
	* WORD
	* DASH
","Flying
When this creature transforms into ~f, it deals 3 damage to each other creature and each opponent."
2,Always Watching,27.96732938400055,False,"No terminal matches '+' in the current parser context, at line 1 col 36

Nontoken creatures you control get +1/+1 and have vigilance.
                                   ^
Expected one of: 
	* WORD
	* DASH
",Nontoken creatures you control get +1/+1 and have vigilance.
3,Angelic Purge,27.945007068999985,False,"No terminal matches ',' in the current parser context, at line 1 col 41

As an additional cost to cast this spell, sacrifice a permanent.
                                        ^
Expected one of: 
	* WORD
	* DASH
","As an additional cost to cast this spell, sacrifice a permanent.
Exile target artifact, creature, or enchantment."
4,Lunarch Inquisitors,27.83531029200094,False,"No terminal matches '~' in the current parser context, at line 1 col 36

When this creature transforms into ~, you may exile another target creature
                                   ^
Expected one of: 
	* WORD
	* DASH
","When this creature transforms into ~, you may exile another target creature until ~ leaves the battlefield."
5,Avacynian Missionaries,27.968087377999836,False,"No terminal matches ',' in the current parser context, at line 1 col 34

At the beginning of your end step, if ~ is equipped, transform it.
                                 ^
Expected one of: 
	* WORD
	* DASH
","At the beginning of your end step, if ~ is equipped, transform it."
6,Archangel Avacyn,27.970904150000933,False,"No terminal matches ',' in the current parser context, at line 2 col 7

Flying, vigilance
      ^
Expected one of: 
	* WORD
	* DASH
","Flash
Flying, vigilance
When ~ enters, creatures you control gain indestructible until end of turn.
When a non-Angel creature you control dies, transform ~ at the beginning of the next upkeep."
7,Angel of Deliverance,51.37887028200021,False,"No terminal matches 'W' in the current parser context, at line 2 col 12

Delirium — Whenever ~ deals damage, if there are fo
           ^
Expected one of: 
	* ABILITYMODIFIER
	* INCUBATE
	* LOSE
	* TARGET
	* WITHOUT
	* A
	* REGENERATE
	* TYPE
	* ABLE
	* EXPLORES
	* SUBTYPECREATUREA
	* DISCARDED
	* PAY
	* SUSPECT
	* EXILE
	* UNATTACHED
	* GREATER
	* GAINED
	* OTHER
	* INVESTIGATE
	* FORAGE
	* ALL
	* SWITCH
	* WIN
	* LEVEL
	* ATTACHED
	* SUBTYPEARTIFACT
	* HAD
	* WHEN
	* CHOOSE
	* OBJECTCHARACTERISTIC
	* AT
	* SEARCHED
	* BECOME
	* DEAL
	* ITSELF
	* EXERT
	* THAT
	* IT
	* ATTACKED
	* ONTO
	* IN
	* ADDITIONAL
	* SUPERTYPE
	* CONNIVE
	* COLORTERM
	* COUNTER
	* TURNED
	* FIGHT
	* DESTROY
	* UNTAPSYMBOL
	* CREATE
	* KEYWORDSTATUSMODIFIER
	* EFFECTSTATUSMODIFIER
	* SUPPORT
	* __ANON_15
	* ASSIGN
	* DRAW
	* PREVENT
	* THESE
	* CAST
	* __ANON_17
	* LBRACE
	* __ANON_20
	* LOOKED
	* THEN
	* HIMSELF
	* FATESEAL
	* DO
	* MONSTROSITY
	* __ANON_21
	* DIE
	* HERSELF
	* PLAY
	* CYCLED
	* COMBATSTATUSMODIFIER
	* ZONE
	* AS
	* SAME
	* ANY
	* LSQB
	* FREQUENCY
	* IS
	* DAMAGETYPE
	* LESS
	* CLASH
	* BLOCK
	* THEIR
	* SACRIFICED
	* SUBTYPEENCHANTMENT
	* CYCLE
	* TAKE
	* THOSE
	* YOUR
	* SUBTYPECREATUREB
	* WITH
	* LEARN
	* UNDER
	* SKIP
	* ACTIVATE
	* MAY
	* REVEAL
	* EACH
	* SCRY
	* BEEN
	* TAPSYMBOL
	* CONVERT
	* ATTACK
	* X
	* ADAPT
	* SUBTYPEPLANESWALKER
	* FLIP
	* __ANON_19
	* ADD
	* WHILE
	* PLAYERCHARACTERISTIC
	* THE
	* NAMEREFSYMBOL
	* DETAIN
	* AFTER
	* REMAIN
	* QUALIFIER
	* BE
	* ITS
	* ORDINAL
	* UP
	* ABANDON
	* IF
	* MANIFEST
	* SUBTYPEPLANAR
	* ATTACH
	* POPULATE
	* SURVEIL
	* UNATTACH
	* THEM
	* WHO
	* EXCHANGE
	* LOOK
	* TRANSFORM
	* NO
	* GAIN
	* OTHERWISE
	* PROLIFERATE
	* REVEALED
	* DOUBLE
	* SHUFFLED
	* UNTAP
	* TURN
	* BLOCKED
	* GET
	* MILL
	* HAVE
	* STAR
	* __ANON_14
	* CHOSE
	* ON
	* SPEND
	* CONTROL
	* TAP
	* PLAYERTERM
	* TAPPEDSTATUSMODIFIER
	* TIMES
	* REMOVE
	* WHENEVER
	* CLOAK
	* __ANON_18
	* FOR
	* SACRIFICE
	* WOULD
	* DISCOVER
	* THIS
	* AN
	* DISCARD
	* RETURN
	* MELD
	* BOLSTER
	* UNTIL
	* SHUFFLE
	* SUBTYPELAND
	* PUT
	* AMASS
	* PLAYED
	* NON
	* DREW
	* DASH
	* MORE
	* SEARCH
	* INTO
	* ONLY
	* NUMBER
	* CAN
	* GOAD
	* HAS
	* FROM
	* SUBTYPESPELL
	* EQUAL
	* CONTROLLED
	* DOES
	* CARDINAL
","Flying
Delirium — Whenever ~ deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls."
8,Devilthorn Fox,3.417000698391348e-06,False,'text',
9,Bound by Moonsilver,24.213723236998703,False,"No terminal matches ',' in the current parser context, at line 2 col 34

Enchanted creature can not attack, block, or transform.
                                 ^
Expected one of: 
	* WORD
	* DASH
","Enchant creature
Enchanted creature can not attack, block, or transform.
Sacrifice another permanent: Attach ~ to target creature. Activate only as a sorcery and only once each turn."
